iter	Passed	Remaining
1475	5863	10027
1476	5866	10021
1477	5869	10016
1478	5872	10010
1479	5875	10005
1480	5879	10000
1481	5882	9994
1482	5886	9990
1483	5889	9984
1484	5892	9980
1485	5895	9974
1486	5899	9969
1487	5902	9963
1488	5905	9958
1489	5908	9952
1490	5911	9947
1491	5915	9942
1492	5917	9937
1493	5921	9932
1494	5924	9927
1495	5928	9922
1496	5931	9917
1497	5934	9912
1498	5938	9908
1499	5941	9902
1500	5944	9897
1501	5947	9891
1502	5950	9886
1503	5953	9880
1504	5958	9878
1505	5965	9879
1506	5969	9874
1507	5972	9869
1508	5976	9866
1509	5979	9861
1510	5983	9855
1511	5986	9851
1512	5989	9846
1513	5993	9841
1514	5996	9835
1515	5999	9829
1516	6002	9824
1517	6005	9819
1518	6009	9815
1519	6012	9809
1520	6015	9804
1521	6018	9798
1522	6021	9794
1523	6024	9788
1524	6028	9783
1525	6031	9778
1526	6034	9773
1527	6038	9768
1528	6040	9762
1529	6044	9757
1530	6046	9751
1531	6050	9746
1532	6053	9741
1533	6056	9736
1534	6059	9731
1535	6063	9726
1536	6066	9721
1537	6069	9716
1538	6072	9710
1539	6075	9705
1540	6078	9700
1541	6082	9696
1542	6086	9691
1543	6089	9685
1544	6092	9681
1545	6095	9675
1546	6098	9670
1547	6101	9665
1548	6104	9659
1549	6107	9653
1550	6110	9648
1551	6114	9644
1552	6117	9638
1553	6120	9633
1554	6123	9627
1555	6127	9624
1556	6131	9619
1557	6134	9615
1558	6137	9610
1559	6141	9605
1560	6144	9600
1561	6147	9594
1562	6150	9590
1563	6153	9584
1564	6157	9579
1565	6160	9574
1566	6164	9571
1567	6170	9570
1568	6175	9568
1569	6181	9566
1570	6185	9563
1571	6189	9560
1572	6194	9556
1573	6198	9553
1574	6203	9551
1575	6209	9550
1576	6214	9548
1577	6218	9543
1578	6222	9540
1579	6225	9535
1580	6232	9536
1581	6237	9533
1582	6242	9530
1583	6247	9528
1584	6253	9528
1585	6260	9528
1586	6267	9528
1587	6273	9528
1588	6279	9528
1589	6285	9527
1590	6291	9526
1591	6298	9527
1592	6304	9526
1593	6311	9527
1594	6315	9522
1595	6320	9519
1596	6324	9516
1597	6329	9513
1598	6335	9513
1599	6340	9510
1600	6347	9510
1601	6351	9506
1602	6357	9506
1603	6364	9507
1604	6369	9504
1605	6376	9504
1606	6380	9501
1607	6386	9500
1608	6392	9499
1609	6399	9499
1610	6403	9496
1611	6410	9496
1612	6417	9496
1613	6423	9495
1614	6426	9491
1615	6432	9489
1616	6438	9488
1617	6442	9484
1618	6447	9482
1619	6451	9478
1620	6458	9477
1621	6464	9477
1622	6470	9476
1623	6477	9476
1624	6485	9478
1625	6490	9476
1626	6495	9473
1627	6500	9471
1628	6506	9470
1629	6512	9469
1630	6520	9471
1631	6529	9473
1632	6533	9470
1633	6537	9465
1634	6540	9460
1635	6543	9454
1636	6547	9451
1637	6552	9448
1638	6556	9444
1639	6560	9440
1640	6565	9438
1641	6572	9437
1642	6578	9437
1643	6585	9438
1644	6590	9435
1645	6595	9432
1646	6599	9428
1647	6604	9425
1648	6608	9421
1649	6612	9417
1650	6615	9412
1651	6618	9407
1652	6622	9402
1653	6625	9397
1654	6629	9393
1655	6632	9387
1656	6635	9382
1657	6639	9378
1658	6642	9372
1659	6645	9368
1660	6648	9362
1661	6653	9359
1662	6656	9354
1663	6659	9349
1664	6662	9343
1665	6665	9338
1666	6669	9333
1667	6672	9328
1668	6675	9323
1669	6679	9318
1670	6681	9313
1671	6684	9307
1672	6688	9302
1673	6691	9297
1674	6694	9292
1675	6697	9286
1676	6700	9281
1677	6703	9276
1678	6706	9271
1679	6710	9266
1680	6712	9260
1681	6718	9258
1682	6721	9253
1683	6724	9247
1684	6727	9243
